user_id,source,category
bd4f60c5a9,other,Продукты
bd4f60c5a9,context,
4e4f90fcfb,context,Электроника
a8d3f7e9c2,context,
4e4f90fcfb,other,
1840e0b9d4,other,
bd4f60c5a9,context,
1840e0b9d4,context,Электроника
4e4f90fcfb,other,
1840e0b9d4,other,
4e4f90fcfb,other,Продукты
1840e0b9d4,other,
4e4f90fcfb,context,
a8d3f7e9c2,other,
a8d3f7e9c2,other,
1840e0b9d4,other,
bd4f60c5a9,context,
1840e0b9d4,other,
a8d3f7e9c2,other,Электроника
4e4f90fcfb,other,
4e4f90fcfb,other,
1840e0b9d4,other,Электроника
a8d3f7e9c2,context,
bd4f60c5a9,other,
4e4f90fcfb,other,
4e4f90fcfb,context,
a8d3f7e9c2,context,
a8d3f7e9c2,other,
4e4f90fcfb,context,
4e4f90fcfb,other,
